Species,Type,Dead Code,X,Y,Diam10,Height,dead,DBH,SnagDecayClass
PISY,Adult,Alive,31.9366,78.6632,NA,9.32346,0,14.3195,0
PISY,Adult,Alive,28.7198,73.5624,NA,9.43308,0,14.5956,0
PISY,Adult,Alive,27.6803,76.6414,NA,9.99476,0,16.0658,0
PISY,Sapling,Alive,26.1288,86.7496,3.41703,2.6455,0,1.79412,NA
PISY,Sapling,Alive,27.5655,84.3165,5.01985,3.24225,0,2.67086,NA
PISY,Sapling,Alive,24.669,86.6301,8.12905,4.33608,0,4.37159,NA
PISY,Sapling,Alive,31.1234,86.3419,10.6701,5.17108,0,5.76155,NA
PISY,Sapling,Alive,26.2548,83.1504,10.9328,5.25452,0,5.90524,NA
PISY,Sapling,Alive,29.154,85.8022,12.3203,5.68655,0,6.66418,NA
PISY,Adult,Alive,24.5468,86.0985,NA,6.26499,0,7.72181,0
PISY,Adult,Alive,25.5004,82.1306,NA,6.57762,0,8.31464,0
PISY,Adult,Alive,28.3484,81.1865,NA,6.92253,0,8.98718,0
PISY,Adult,Alive,28.371,85.0025,NA,7.1387,0,9.4191,0
PISY,Adult,Alive,29.816,81.9875,NA,7.4611,0,10.0789,0
PISY,Adult,Alive,31.1398,81.8918,NA,7.46217,0,10.0812,0
PISY,Adult,Alive,29.3741,84.5665,NA,7.69374,0,10.5673,0
PISY,Snag,Alive,24.0562,87.3021,NA,7.87633,NA,10.9581,5
PISY,Adult,Alive,25.5135,84.1049,NA,11.3846,0,20.1752,0
PISY,Adult,Alive,26.1965,85.8049,NA,13.2829,0,27.354,0
PISY,Adult,Alive,26.6119,83.8788,NA,13.291,0,27.3901,0
PISY,Sapling,Alive,31.1962,95.4979,4.27839,2.96906,0,2.26528,NA
PISY,Sapling,Alive,31.4696,94.8477,5.6758,3.47989,0,3.02966,NA
PISY,Sapling,Alive,25.5286,95.3201,8.61169,4.49864,0,4.63559,NA
PISY,Sapling,Alive,31.7744,88.82,11.8976,5.55646,0,6.43296,NA
PISY,Sapling,Alive,29.3239,94.5672,12.6988,5.80195,0,6.87127,NA
PISY,Sapling,Alive,24.456,92.1347,13.3772,6.0061,0,7.2423400000000004,NA
PISY,Adult,Alive,25.3982,93.221,NA,6.36345,0,7.90684,0
PISY,Adult,Alive,26.3369,90.065,NA,6.62323,0,8.40242,0
PISY,Adult,Alive,31.4745,88.2753,NA,6.73237,0,8.61391,0
PISY,Adult,Alive,28.7683,88.4066,NA,6.94974,0,9.04109,0
PISY,Adult,Alive,29.8355,90.9622,NA,7.2006,0,9.5443,0
PISY,Adult,Alive,30.0819,93.6128,NA,8.62681,0,12.6391,0
PISY,Adult,Alive,25.0381,90.9206,NA,9.48499,0,14.7276,0
PISY,Adult,Alive,24.8001,88.556,NA,9.68106,0,15.233,0
PISY,Adult,Alive,30.3826,92.3251,NA,10.5158,0,17.5205,0
PISY,Adult,Alive,24.6654,94.6968,NA,11.8376,0,21.6932,0
PISY,Adult,Alive,27.6529,93.2938,NA,12.3658,0,23.602,0
PISY,Adult,Alive,29.7355,95.8626,NA,13.1392,0,26.7236,0
PISY,Sapling,Alive,30.892,98.1649,3.70409,2.75408,0,1.95114,NA
PISY,Sapling,Alive,25.8252,98.638,5.75495,3.50832,0,3.07296,NA
PISY,Sapling,Alive,29.4114,96.6107,8.5507,4.47821,0,4.60223,NA
PISY,Sapling,Alive,27.0936,99.2236,9.81702,4.89644,0,5.29491,NA
PISY,Sapling,Alive,28.0599,96.4026,11.5471,5.44758,0,6.24125,NA
PISY,Adult,Alive,24.4601,97.0645,NA,6.26393,0,7.71981,0
PISY,Adult,Alive,27.7504,97.366,NA,6.34619,0,7.87429,0
PISY,Adult,Alive,29.0216,96.3757,NA,6.53234,0,8.2278,0
PISY,Adult,Alive,26.9407,98.3495,NA,6.57533,0,8.31024,0
PISY,Adult,Alive,31.3812,97.1065,NA,7.03357,0,9.20801,0
PISY,Adult,Alive,30.785,99.3835,NA,10.1916,0,16.6044,0
PISY,Adult,Alive,29.1937,99.3813,NA,10.9422,0,18.7846,0
PISY,Adult,Alive,24.8393,97.6654,NA,11.5994,0,20.8824,0
PISY,Adult,Alive,27.7844,99.8798,NA,11.615,0,20.9345,0
PISY,Sapling,Alive,33.3646,1.52106,3.74911,2.77104,0,1.97576,NA
PISY,Sapling,Alive,36.4594,5.43052,8.54248,4.47545,0,4.59774,NA
PISY,Sapling,Alive,37.4704,1.05539,10.5355,5.12813,0,5.68793,NA
PISY,Sapling,Alive,39.5747,2.60807,11.1866,5.33464,0,6.04408,NA
PISY,Sapling,Alive,38.5346,6.98149,12.3835,5.7059,0,6.69877,NA
PISY,Adult,Alive,37.4511,3.63655,NA,6.47143,0,8.11152,0
PISY,Adult,Alive,34.561,5.87931,NA,6.53126,0,8.22574,0
PISY,Adult,Alive,36.5187,5.69511,NA,6.5574,0,8.27583,0
PISY,Adult,Alive,36.6929,7.23353,NA,6.91106,0,8.96449,0
PISY,Adult,Alive,39.0221,6.9665,NA,6.98845,0,9.11801,0
PISY,Adult,Alive,35.7228,1.0414,NA,7.53578,0,10.2346,0
PISY,Adult,Alive,38.7394,2.554,NA,7.70318,0,10.5873,0
PISY,Adult,Alive,39.3302,4.11626,NA,9.03946,0,13.6193,0
PISY,Adult,Alive,38.638,3.76288,NA,9.57118,0,14.9484,0
PISY,Adult,Alive,39.896,2.40494,NA,10.8722,0,18.5723,0
PISY,Adult,Alive,33.9281,4.19513,NA,11.312,0,19.9409,0
PISY,Adult,Alive,37.0535,0.0147191,NA,11.46,0,20.4208,0
PISY,Adult,Alive,32.8899,1.13171,NA,11.6769,0,21.1431,0
PISY,Adult,Alive,36.0307,0.398315,NA,13.5405,0,28.5298,0
PISY,Adult,Alive,32.6583,1.86822,NA,13.7106,0,29.341,0
PISY,Sapling,Alive,36.0586,8.60103,3.99482,2.86328,0,2.11016,NA
PISY,Sapling,Alive,37.1801,11.047,4.8145,3.16708,0,2.55853,NA
PISY,Sapling,Alive,38.0737,8.08618,4.85796,3.18302,0,2.58231,NA
PISY,Sapling,Alive,39.7435,11.825,5.38651,3.37555,0,2.87142,NA
PISY,Sapling,Alive,37.5456,10.5912,13.431,6.02215,0,7.27177,NA
PISY,Adult,Alive,33.188,15.5673,NA,6.29107,0,7.77066,0
PISY,Adult,Alive,32.0505,12.0849,NA,6.31549,0,7.81651,0
PISY,Adult,Alive,34.6032,8.61821,NA,6.50183,0,8.16948,0
PISY,Adult,Alive,32.6964,14.5854,NA,6.66051,0,8.47446,0
PISY,Adult,Alive,37.3847,8.91348,NA,7.01862,0,9.17815,0
PISY,Adult,Alive,39.9125,15.7007,NA,7.73157,0,10.6477,0
PISY,Adult,Alive,36.3287,13.0271,NA,9.56634,0,14.9359,0
PISY,Adult,Alive,35.7647,8.96809,NA,10.7726,0,18.2733,0
PISY,Adult,Alive,32.6043,9.49069,NA,11.7708,0,21.4628,0
